incident_id,date,protocol,chain,loss_usd,loss_prevented_usd,is_technical,is_lif_relevant,is_intervention,vector_category,ecosystem,scope,authority,time_to_detect_min,time_to_contain_min,containment_success_pct,success_tier,description,notes,intervention_notes,source_type,intervention_source,source_raw,confidence_level,source_file,is_high_fidelity
SAGAEVM-2026-01-21,2026-01-21,SagaEVM,Saga Chainlet,7000000.0,,True,True,True,Access Control / Chain Pause,Other/Multi,Network,Signer Set,0.0,0.0,100.0,Full (100%),SagaEVM chainlet paused at block height 6593800 due to Ethermint codebase vulnerability. Cross-chain activity restricted while mitigation implemented.,,"Protocol team paused entire chainlet, coordinated with Cosmos Labs and Sherlock for remediation. Full post-mortem published.",,https://medium.com/sagaxyz/sagaevm-security-incident-investigation-update-29a1d2a6b0cd,,high,manual_addition,
MAKINAFINANC-2026-01-20,2026-01-20,Makina Finance,Ethereum,4130000.0,,True,True,True,Oracle Manipulation,EVM,Protocol,Delegated Body,1.0,60.0,0.0,Reactive (0%),"Oracle manipulation via share price oracle using 280M USDC flash loan. MEV bots front-ran attacker, capturing most funds.",,"Delegated Body triggered recovery mode, paused all Machines. Negotiated with MEV operators for fund recovery.",,https://rekt.news/makina-rekt,,high,manual_addition,
PMX-2026-01-07,2026-01-07,PMX,Polygon,230000.0,,True,True,True,Contract Vulnerability,EVM,Protocol,Signer Set,60.0,120.0,100.0,Full (100%),Polycule trading bot contract vulnerability exploited. Team immediately took bot offline and committed to treasury compensation.,,"Immediate response: bot taken offline, vulnerability identified, patches scheduled, full treasury compensation promised.",,https://x.com/pmx_trade/status/2008942249326071949,,high,manual_addition,
IPORFUSION-2026-01-07,2026-01-07,IPOR Fusion,Arbitrum,98000.0,0.0,True,True,True,Logic Bug / Attack,EVM,Module,Signer Set,15.0,60.0,0.0,Reactive (0%),,IPOR Fusion legacy vault exploit. Missing fuse validation. Team remediated through fuse controls.,,official_postmortem,https://medium.com/@ipor-labs/post-mortem-ipor-usdc-optimizer-arbitrum-vault-exploit-aff11fd01b62,official_postmortem,,,True
IPOR-2026-01-06,2026-01-06,IPOR,Arbitrum,336000.0,,True,True,True,Contract Vulnerability / EIP-7702,EVM,Protocol,Signer Set,1440.0,2880.0,100.0,Full (100%),EIP-7702 delegation vulnerability in legacy USDC Fusion Optimizer vault. Attacker created malicious circuit-breaker contract to extract funds.,,"Funds recovered with 10% white-hat bounty agreement. IPOR DAO covering deficit, full compensation for affected depositors.",,https://blog.ipor.io/post-mortem-ipor-usdc-optimizer-arbitrum-vault-exploit-aff11fd01b62,,high,manual_addition,
DEBOT-2025-12-30,2025-12-30,DeBot,Ethereum,255000.0,,True,True,True,Private Key Leakage,EVM,Protocol,Signer Set,4320.0,8640.0,100.0,Full (100%),"User private keys compromised, resulting in unauthorized transfers. Ongoing theft detected by SlowMist.",,Team initially denied issues but later provided 100% compensation to affected users.,,https://x.com/evilcos/status/2004936235949981886,,medium,manual_addition,
UNLEASHPROTO-2025-12-30,2025-12-30,Unleash Protocol,Story Protocol,3900000.0,,True,True,True,Privilege Compromise / Governance,Other/Multi,Protocol,Signer Set,60.0,120.0,100.0,Full (100%),"Multisig governance compromise led to unauthorized contract upgrade and theft of WIP, USDC, WETH, stIP, vIP tokens.",,"Immediate suspension of all operations, full investigation initiated. Story Protocol infrastructure unaffected.",,https://x.com/UnleashProtocol/status/2005907998691229933,,high,manual_addition,
FLOWBLOCKCHA-2025-12-27,2025-12-27,Flow Blockchain,Flow,3900000.0,276100000.0,True,True,True,Access Control / Key Compromise,App-Chain,Account,Delegated Body,90.0,60.0,85.0,Partial (1-99%),Counterfeit Token Minting / Access Control,,"Isolated Recovery approach: validators halted network, restricted only affected accounts. CGC authorized burns. 87.96B FLOW duplicated (~7B nominal), 99.25% recovered.",,https://flow.com/post/dec-27-technical-post-mortem,,high,https://flow.com/post/dec-27-technical-post-mortem,
GNOSISCHAIN-2025-12-15,2025-12-15,Gnosis Chain,Gnosis,0.0,9400000.0,True,True,True,Hard Fork / Asset Recovery,EVM,Network,Governance,43200.0,60.0,100.0,Full (100%),Hard Fork / Governance Recovery,,"Governance-approved hard fork ~30 days after initial exploit. Soft fork froze funds, hard fork redistributed $9.4M. Monerium/Stakewise protected €3M+.",,https://forum.gnosis.io/t/balancer-hack-hard-fork/11884,,high,https://forum.gnosis.io/t/balancer-hack-hard-fork/11884,
LIBRAII-2025-11-20,2025-11-20,Libra II,Ethereum,61500000.0,0.0,True,True,True,Legal/Governance speed conflict,EVM,Protocol,Governance,1440.0,2880.0,0.0,Reactive (0%),"Libra II governance conflict - $61.5M lost through legal/governance speed conflict, DeFi protocol affected by regulatory and governance issues",,Libra II DeFi protocol affected by legal/governance speed conflict. $61.5M lost through regulatory and governance issues. No recovery possible.,,https://rekt.news/libra2/,,medium,rekt_news_extra.txt,
