incident_id,date,protocol,chain,loss_usd,loss_prevented_usd,is_lif_relevant,ecosystem,scope,authority,time_to_detect_min,time_to_contain_min,containment_success_pct,success_tier,notes,source_type,confidence_level,intervention_source
TETHER-2026-01-11,2026-01-11,Tether/PDVSA,TRON,0.0,182000000.0,False,Non-EVM,Asset,Signer Set,0.0,0.0,100.0,Full (100%),Issuer-controlled freeze of 5 TRON wallets linked to PDVSA. Largest single-day USDT freeze.,news_outlet,high,https://finance.yahoo.com/news/tether-freezes-182m-usdt-largest-105442400.html
FLOWBLOCKCHA-2025-12-27,2025-12-27,Flow Blockchain,Flow,3900000.0,276100000.0,True,App-Chain,Account,Delegated Body,90.0,60.0,85.0,Partial (1-99%),"Isolated Recovery approach: validators halted network, restricted only affected accounts. CGC authorized burns. 87.96B FLOW duplicated (~7B nominal), 99.25% recovered.",official_postmortem,high,https://flow.com/post/dec-27-technical-post-mortem
GNOSISCHAIN-2025-12-15,2025-12-15,Gnosis Chain,Gnosis,0.0,9400000.0,True,EVM,Network,Governance,43200.0,60.0,100.0,Full (100%),"Governance-approved hard fork ~30 days after initial exploit. Soft fork froze funds almost immediately, hard fork redistributed $9.4M. Monerium/Stakewise protected €3M+. Effective containment time: 1 hour for soft fork.",governance_forum,high,https://forum.gnosis.io/t/balancer-hack-hard-fork/11884
BERACHAINBEX-2025-11-03,2025-11-03,Berachain BEX,Berachain,0.0,12800000.0,True,Other/Multi,Network,Signer Set,30.0,30.0,100.0,Full (100%),Validators coordinated 30-hour network halt. White-hat cooperation recovered all $12.8M+ via pre-signed transactions. Emergency hard-fork executed.,social_media,high,https://x.com/berachain/status/1986952318068146323
SONIC-2025-11-03,2025-11-03,Sonic/Beets,Sonic,3195082.0,874380.0,True,EVM,Account,Signer Set,59.0,120.0,21.5,Partial (1-99%),"Sonic Labs deployed freezeAccount (commit b584c86) ~2hrs after exploit. Beets affected pools: stS/S, wOS/S. Freeze was effective for native $S tokens (21.5% of total value), but permit bypass allowed moving stS tokens. Total value at risk: $4.07M. $3.2M lost, $0.87M frozen.",social_media,high,https://x.com/SonicLabs/status/1985401737096671549
BALANCER-2025-11-03,2025-11-03,Balancer V2,Multi-chain,94876000.0,45700000.0,True,EVM,Protocol,Signer Set,21.0,21.0,100.0,Full (100%),"$94.8M exploit via CSP rounding bug (v5 hacked). Hypernative detected at 07:52 UTC; CSPv6 paused at 08:07 UTC ($19.3M protected). StakeWise recovered $21.8M, whitehats $4.6M. Total $45.7M protected/recovered.",official_postmortem,high,https://x.com/Balancer/status/1986104426667401241
LIQWID-2025-10-15,2025-10-15,Liqwid,Cardano,0.0,0.0,False,EVM,Protocol,Delegated Body,0.0,45.0,100.0,Full,Pause guardian multisig halted all markets during ADA flash crash; kill switch exists separately.,social_media,high,https://x.com/liqwidfinance/status/1976778373168087162
SUI-2025-05-22,2025-05-22,Sui/Cetus,Sui,223000000.0,162000000.0,False,Non-EVM,Account,Governance,0.0,120.0,73.0,Partial (1-99%),~$223M stolen. Validators froze 2 attacker addresses; 90.9% stake vote authorized recovery into recovery multisig.,official_postmortem,high,https://blog.sui.io/cetus-incident-response-onchain-community-vote/
CORKPROTOCOL-2025-05-28,2025-05-28,Cork Protocol,Ethereum,12000000.0,20000000.0,True,EVM,Protocol,Signer Set,4.0,54.0,63.0,Partial (1-99%),"Uniswap v4 hook exploit. Hypernative alerted at 11:43 UTC (4 min after exploit). War room with Spearbit, Quantstamp, Certora. All contracts paused by 12:33 UTC. ~$20M in other vaults protected (est.).",official_postmortem,high,https://www.cork.tech/blog/post-mortem
DELTAPRIME-2024-11-11,2024-11-11,DeltaPrime,Multi-chain,4750000.0,0.0,True,EVM,Protocol,Signer Set,0.0,10.0,0.0,Reactive (0%),"$4.75M exploit via claimRewards() vulnerability. Attack began 07:35 UTC, war room assembled by 07:50 UTC. Protocol paused within 10 minutes. Attackers mimicked LFJ contracts to bypass solvency checks. rTKN reimbursement plan implemented for users.",official_postmortem,high,https://medium.com/@DeltaPrimeDefi/deltaprime-post-mortem-reimbursement-plan-07-12-2024-2d654912715b
